,Faixa do rendimento mensal domiciliar per capita ,Para acessar a Internet utiliza-se microcomputador,Para acessar a Internet utiliza-se telefone celular,Rendimento mensal domiciliar per capita ,Tem telefone movel celular,Total de moradores de 10 anos ou mais
150,1.0,,,162.0,2.0,2.0
151,3.0,,,560.0,2.0,2.0
152,3.0,4.0,2.0,787.0,2.0,3.0
153,2.0,,,381.0,2.0,2.0
154,4.0,,,992.0,2.0,4.0
155,3.0,,,570.0,2.0,2.0
156,3.0,,,395.0,2.0,1.0
157,4.0,4.0,2.0,1010.0,2.0,5.0
158,4.0,,,1125.0,2.0,3.0
159,2.0,,,320.0,4.0,2.0
160,4.0,2.0,2.0,900.0,2.0,2.0
161,1.0,2.0,2.0,187.0,2.0,4.0
162,4.0,,,1200.0,2.0,1.0
163,2.0,,,312.0,2.0,3.0
164,2.0,,,300.0,2.0,2.0
165,2.0,,,199.0,2.0,2.0
166,4.0,,,790.0,4.0,2.0
167,4.0,2.0,2.0,1095.0,2.0,3.0
168,,,,,,
169,2.0,4.0,2.0,222.0,2.0,1.0
170,3.0,4.0,2.0,550.0,2.0,2.0
171,4.0,,,1140.0,2.0,2.0
172,,,,,,
173,4.0,,,831.0,2.0,2.0
174,4.0,,,833.0,2.0,2.0
175,1.0,2.0,2.0,120.0,2.0,1.0
176,5.0,2.0,2.0,1925.0,2.0,2.0
177,4.0,,,1182.0,2.0,2.0
178,3.0,,,650.0,2.0,2.0
179,3.0,2.0,2.0,497.0,2.0,3.0
180,4.0,2.0,2.0,1050.0,2.0,4.0
181,3.0,2.0,2.0,697.0,2.0,4.0
182,99.0,,,999999999999.0,2.0,3.0
183,3.0,,,640.0,2.0,2.0
184,2.0,,,278.0,2.0,2.0
185,3.0,,,425.0,2.0,4.0
186,3.0,4.0,2.0,528.0,2.0,2.0
187,3.0,,,788.0,4.0,1.0
188,3.0,,,779.0,4.0,3.0
189,4.0,2.0,2.0,900.0,2.0,2.0
190,5.0,,,2288.0,2.0,1.0
191,7.0,2.0,2.0,6000.0,2.0,4.0
192,5.0,,,1900.0,2.0,2.0
193,4.0,,,1000.0,2.0,3.0
194,4.0,,,1522.0,2.0,3.0
195,2.0,,,375.0,2.0,4.0
196,4.0,,,913.0,2.0,2.0
197,2.0,2.0,4.0,297.0,2.0,2.0
198,2.0,,,372.0,2.0,2.0
199,3.0,,,750.0,2.0,2.0
200,4.0,,,894.0,2.0,2.0
201,,,,,,
202,2.0,,,296.0,2.0,3.0
203,4.0,,,892.0,2.0,3.0
204,2.0,,,333.0,2.0,3.0
205,3.0,4.0,2.0,547.0,2.0,2.0
206,4.0,,,1394.0,2.0,2.0
207,5.0,2.0,2.0,1829.0,2.0,3.0
208,4.0,,,988.0,2.0,2.0
209,2.0,,,300.0,2.0,3.0
210,5.0,,,1750.0,2.0,3.0
211,1.0,4.0,2.0,116.0,2.0,3.0
212,4.0,,,800.0,2.0,2.0
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,4.0,,,900.0,2.0,4.0
218,6.0,,,2576.0,2.0,1.0
219,2.0,,,394.0,2.0,2.0
220,,,,,,
221,4.0,,,1000.0,2.0,3.0
222,5.0,,,1788.0,2.0,2.0
223,,,,,,
224,,,,,,
225,,,,,,
226,5.0,,,1894.0,2.0,2.0
227,,,,,,
228,,,,,,
229,7.0,2.0,2.0,4317.0,2.0,5.0
230,3.0,2.0,2.0,733.0,2.0,2.0
231,,,,,,
232,6.0,2.0,2.0,3000.0,2.0,3.0
233,,,,,,
234,3.0,,,788.0,2.0,3.0
235,,,,,,
236,,,,,,
237,5.0,2.0,2.0,1600.0,2.0,1.0
238,,,,,,
239,,,,,,
240,4.0,2.0,2.0,1230.0,2.0,2.0
241,,,,,,
242,3.0,,,578.0,2.0,1.0
243,6.0,2.0,2.0,3133.0,2.0,2.0
244,5.0,2.0,2.0,2000.0,2.0,2.0
245,4.0,2.0,2.0,875.0,2.0,3.0
246,,,,,,
247,4.0,2.0,2.0,850.0,2.0,3.0
248,,,,,,
249,4.0,2.0,2.0,1125.0,2.0,4.0
250,4.0,4.0,2.0,1150.0,2.0,1.0
251,3.0,,,768.0,2.0,1.0
252,,,,,,
253,3.0,,,780.0,2.0,1.0
254,,,,,,
255,99.0,4.0,2.0,999999999999.0,2.0,2.0
256,,,,,,
257,4.0,2.0,2.0,1080.0,2.0,4.0
258,,,,,,
259,,,,,,
