,Faixa do rendimento mensal domiciliar per capita ,Para acessar a Internet utiliza-se microcomputador,Para acessar a Internet utiliza-se telefone celular,Rendimento mensal domiciliar per capita ,Tem telefone movel celular,Total de moradores de 10 anos ou mais
23017,5.0,2.0,2.0,1994.0,2.0,2.0
23018,0.0,,,0.0,4.0,1.0
23019,2.0,,,207.0,2.0,4.0
23020,1.0,,,137.0,2.0,2.0
23021,,,,,,
23022,3.0,,,658.0,2.0,3.0
23023,2.0,,,206.0,2.0,6.0
23024,4.0,,,948.0,4.0,3.0
23025,4.0,,,1000.0,2.0,1.0
23026,1.0,,,77.0,4.0,1.0
23027,,,,,,
23028,1.0,,,82.0,2.0,3.0
23029,,,,,,
23030,1.0,,,41.0,2.0,3.0
23031,4.0,,,821.0,2.0,4.0
23032,1.0,,,25.0,2.0,2.0
23033,,,,,,
23034,,,,,,
23035,,,,,,
23036,3.0,,,565.0,2.0,5.0
23037,,,,,,
23038,1.0,,,93.0,4.0,3.0
23039,,,,,,
23040,4.0,,,1012.0,2.0,1.0
23041,,,,,,
23042,0.0,,,0.0,4.0,1.0
23043,3.0,,,424.0,2.0,3.0
23044,1.0,,,140.0,2.0,8.0
23045,1.0,,,36.0,2.0,2.0
23046,1.0,,,59.0,4.0,2.0
23047,1.0,,,46.0,4.0,2.0
23048,,,,,,
23049,,,,,,
23050,3.0,,,551.0,2.0,3.0
23051,1.0,,,107.0,2.0,3.0
23052,,,,,,
23053,,,,,,
23054,7.0,,,6569.0,2.0,2.0
23055,3.0,,,419.0,2.0,2.0
23056,4.0,2.0,2.0,1276.0,2.0,4.0
23057,4.0,,,938.0,2.0,2.0
23058,,,,,,
23059,1.0,,,77.0,2.0,1.0
23060,2.0,,,394.0,2.0,3.0
23061,3.0,,,788.0,4.0,2.0
23062,1.0,,,141.0,2.0,2.0
23063,1.0,,,70.0,4.0,1.0
23064,,,,,,
23065,3.0,,,411.0,2.0,2.0
23066,1.0,,,180.0,2.0,2.0
23067,,,,,,
23068,,,,,,
23069,,,,,,
23070,3.0,,,700.0,2.0,2.0
23071,3.0,2.0,2.0,409.0,2.0,2.0
23072,2.0,,,213.0,2.0,3.0
23073,,,,,,
23074,1.0,,,55.0,2.0,6.0
23075,,,,,,
23076,1.0,,,139.0,2.0,4.0
23077,2.0,,,277.0,4.0,1.0
23078,2.0,,,293.0,4.0,5.0
23079,0.0,,,0.0,4.0,1.0
23080,3.0,,,540.0,4.0,2.0
23081,3.0,,,525.0,4.0,2.0
23082,2.0,,,218.0,4.0,4.0
23083,,,,,,
23084,1.0,,,66.0,4.0,2.0
23085,,,,,,
23086,2.0,,,233.0,4.0,3.0
23087,2.0,,,329.0,4.0,4.0
23088,2.0,,,394.0,4.0,2.0
23089,,,,,,
23090,3.0,,,550.0,4.0,3.0
23091,2.0,,,380.0,4.0,5.0
23092,2.0,,,294.0,4.0,6.0
23093,,,,,,
23094,1.0,,,71.0,2.0,2.0
23095,3.0,,,788.0,4.0,1.0
23096,,,,,,
23097,2.0,,,262.0,4.0,3.0
23098,2.0,2.0,2.0,333.0,2.0,3.0
23099,1.0,,,166.0,4.0,3.0
23100,3.0,,,788.0,4.0,2.0
23101,,,,,,
23102,,,,,,
23103,,,,,,
23104,,,,,,
23105,2.0,,,256.0,4.0,5.0
23106,2.0,,,262.0,4.0,3.0
23107,1.0,,,157.0,4.0,4.0
23108,1.0,,,35.0,2.0,4.0
23109,1.0,,,94.0,4.0,2.0
23110,0.0,,,0.0,4.0,1.0
23111,3.0,,,405.0,4.0,4.0
23112,,,,,,
23113,2.0,,,262.0,4.0,3.0
23114,1.0,,,8.0,2.0,2.0
23115,1.0,,,64.0,4.0,3.0
23116,1.0,,,111.0,4.0,2.0
23117,1.0,,,46.0,4.0,4.0
23118,2.0,,,262.0,4.0,3.0
23119,1.0,,,85.0,4.0,2.0
23120,2.0,,,262.0,4.0,3.0
23121,1.0,,,45.0,4.0,6.0
23122,,,,,,
23123,2.0,4.0,2.0,336.0,2.0,5.0
23124,2.0,,,323.0,2.0,1.0
23125,3.0,,,435.0,2.0,3.0
23126,3.0,,,788.0,2.0,2.0
23127,1.0,,,36.0,2.0,2.0
23128,3.0,,,686.0,2.0,3.0
23129,,,,,,
23130,,,,,,
23131,,,,,,
23132,2.0,,,258.0,4.0,2.0
23133,,,,,,
23134,2.0,4.0,2.0,218.0,2.0,4.0
23135,,,,,,
23136,3.0,,,788.0,4.0,1.0
23137,7.0,4.0,2.0,4125.0,2.0,4.0
23138,1.0,,,70.0,2.0,4.0
23139,,,,,,
23140,4.0,,,1576.0,4.0,1.0
23141,,,,,,
23142,3.0,,,591.0,4.0,3.0
23143,,,,,,
23144,3.0,,,788.0,4.0,1.0
23145,,,,,,
23146,2.0,,,300.0,4.0,1.0
23147,4.0,,,1288.0,4.0,1.0
23148,3.0,,,404.0,4.0,3.0
23149,3.0,,,788.0,4.0,2.0
23150,1.0,,,140.0,4.0,3.0
23151,3.0,,,788.0,4.0,2.0
23152,1.0,,,156.0,4.0,3.0
23153,,,,,,
23154,2.0,,,394.0,4.0,2.0
23155,5.0,2.0,2.0,2262.0,2.0,3.0
23156,1.0,4.0,2.0,96.0,2.0,1.0
23157,,,,,,
23158,3.0,,,400.0,2.0,2.0
23159,4.0,,,985.0,4.0,4.0
23160,2.0,4.0,2.0,363.0,2.0,4.0
23161,4.0,,,1058.0,2.0,2.0
23162,4.0,2.0,2.0,1150.0,2.0,2.0
23163,4.0,,,796.0,2.0,2.0
23164,3.0,2.0,2.0,544.0,2.0,2.0
23165,4.0,2.0,2.0,1000.0,2.0,4.0
23166,,,,,,
23167,3.0,2.0,2.0,450.0,2.0,2.0
23168,1.0,,,90.0,4.0,3.0
23169,2.0,,,263.0,2.0,2.0
23170,3.0,4.0,2.0,647.0,2.0,4.0
23171,2.0,,,284.0,2.0,4.0
23172,,,,,,
23173,1.0,4.0,2.0,137.0,2.0,4.0
23174,3.0,,,788.0,2.0,1.0
23175,3.0,4.0,2.0,444.0,2.0,2.0
23176,,,,,,
23177,1.0,,,70.0,2.0,2.0
23178,,,,,,
23179,2.0,,,275.0,2.0,4.0
23180,,,,,,
23181,2.0,,,315.0,2.0,3.0
23182,,,,,,
23183,2.0,4.0,2.0,273.0,2.0,2.0
23184,,,,,,
23185,2.0,4.0,2.0,394.0,2.0,2.0
23186,,,,,,
23187,,,,,,
23188,2.0,4.0,2.0,312.0,2.0,5.0
23189,2.0,4.0,2.0,356.0,2.0,3.0
23190,3.0,,,533.0,2.0,3.0
23191,4.0,4.0,2.0,954.0,2.0,3.0
23192,4.0,2.0,2.0,1145.0,2.0,3.0
23193,3.0,,,788.0,2.0,1.0
23194,3.0,,,470.0,2.0,3.0
23195,3.0,,,692.0,2.0,3.0
23196,1.0,,,155.0,2.0,3.0
23197,,,,,,
23198,3.0,4.0,2.0,495.0,2.0,4.0
23199,2.0,2.0,2.0,302.0,2.0,4.0
23200,3.0,,,788.0,4.0,1.0
23201,2.0,,,274.0,2.0,4.0
23202,2.0,,,296.0,2.0,5.0
23203,2.0,,,284.0,2.0,5.0
23204,3.0,,,500.0,2.0,1.0
23205,4.0,,,913.0,2.0,4.0
23206,,,,,,
23207,1.0,,,152.0,2.0,4.0
23208,1.0,,,56.0,2.0,6.0
23209,1.0,4.0,2.0,165.0,2.0,5.0
23210,2.0,,,296.0,2.0,6.0
23211,3.0,4.0,2.0,466.0,2.0,6.0
23212,2.0,2.0,2.0,228.0,2.0,4.0
23213,1.0,,,137.0,2.0,3.0
23214,4.0,4.0,2.0,1017.0,2.0,3.0
23215,1.0,,,135.0,2.0,4.0
23216,1.0,,,190.0,2.0,2.0
23217,2.0,,,267.0,2.0,3.0
23218,2.0,4.0,2.0,305.0,2.0,8.0
23219,3.0,,,788.0,2.0,1.0
23220,1.0,,,166.0,2.0,2.0
23221,1.0,,,133.0,2.0,2.0
23222,1.0,,,125.0,4.0,2.0
23223,3.0,,,444.0,2.0,2.0
23224,3.0,,,788.0,2.0,2.0
23225,,,,,,
23226,99.0,,,999999999999.0,2.0,10.0
23227,4.0,2.0,4.0,1050.0,2.0,2.0
23228,2.0,,,200.0,2.0,2.0
23229,3.0,,,591.0,2.0,4.0
23230,4.0,,,1550.0,2.0,2.0
23231,2.0,4.0,2.0,394.0,2.0,2.0
23232,3.0,,,585.0,4.0,3.0
23233,4.0,,,1105.0,2.0,4.0
23234,,,,,,
23235,5.0,4.0,2.0,1662.0,2.0,4.0
23236,,,,,,
23237,3.0,,,762.0,2.0,3.0
23238,3.0,,,600.0,4.0,1.0
23239,3.0,,,446.0,2.0,3.0
23240,,,,,,
23241,3.0,,,525.0,2.0,3.0
23242,3.0,,,772.0,2.0,2.0
23243,2.0,,,273.0,2.0,7.0
23244,3.0,,,788.0,2.0,3.0
23245,,,,,,
23246,2.0,,,253.0,2.0,5.0
23247,3.0,2.0,2.0,619.0,2.0,2.0
23248,3.0,,,511.0,2.0,2.0
23249,4.0,,,813.0,2.0,3.0
23250,3.0,,,523.0,2.0,5.0
23251,2.0,,,296.0,2.0,6.0
23252,2.0,,,248.0,2.0,5.0
23253,,,,,,
23254,1.0,,,157.0,2.0,4.0
23255,2.0,,,308.0,2.0,2.0
23256,3.0,,,407.0,2.0,2.0
23257,3.0,,,460.0,2.0,2.0
23258,3.0,,,600.0,2.0,2.0
23259,3.0,,,446.0,2.0,3.0
23260,1.0,,,169.0,2.0,2.0
23261,2.0,,,370.0,2.0,2.0
23262,2.0,,,227.0,2.0,3.0
23263,1.0,,,108.0,2.0,3.0
23264,2.0,,,290.0,2.0,2.0
23265,,,,,,
23266,1.0,,,100.0,2.0,1.0
23267,,,,,,
23268,3.0,4.0,2.0,683.0,2.0,2.0
23269,2.0,4.0,2.0,242.0,2.0,5.0
23270,1.0,,,105.0,4.0,2.0
23271,3.0,,,396.0,2.0,2.0
23272,2.0,,,262.0,2.0,2.0
23273,,,,,,
23274,1.0,,,194.0,2.0,5.0
23275,1.0,,,12.0,4.0,6.0
23276,4.0,,,1576.0,2.0,1.0
23277,2.0,,,300.0,2.0,3.0
23278,,,,,,
23279,4.0,,,950.0,2.0,3.0
23280,1.0,,,101.0,2.0,2.0
23281,4.0,,,913.0,2.0,2.0
23282,3.0,,,555.0,2.0,2.0
23283,3.0,,,788.0,4.0,1.0
23284,1.0,,,66.0,4.0,2.0
23285,2.0,,,286.0,2.0,4.0
23286,2.0,,,203.0,4.0,4.0
23287,,,,,,
23288,1.0,,,59.0,2.0,3.0
23289,2.0,2.0,2.0,200.0,2.0,5.0
23290,4.0,2.0,2.0,1333.0,2.0,3.0
23291,2.0,,,262.0,2.0,5.0
23292,3.0,,,403.0,2.0,3.0
23293,4.0,,,983.0,2.0,2.0
23294,3.0,,,491.0,4.0,4.0
23295,,,,,,
23296,4.0,,,968.0,2.0,1.0
23297,1.0,,,63.0,2.0,3.0
23298,2.0,,,262.0,2.0,3.0
23299,3.0,,,788.0,4.0,2.0
23300,3.0,,,525.0,2.0,2.0
23301,,,,,,
23302,,,,,,
23303,4.0,,,900.0,4.0,1.0
23304,4.0,,,1576.0,4.0,1.0
23305,4.0,,,1288.0,2.0,2.0
23306,,,,,,
23307,3.0,,,589.0,2.0,3.0
23308,3.0,,,451.0,2.0,5.0
23309,,,,,,
23310,4.0,4.0,2.0,824.0,2.0,5.0
23311,,,,,,
23312,,,,,,
23313,3.0,4.0,2.0,525.0,2.0,3.0
23314,3.0,,,660.0,2.0,8.0
23315,3.0,,,720.0,2.0,1.0
23316,4.0,4.0,2.0,820.0,2.0,2.0
23317,2.0,,,247.0,2.0,3.0
23318,3.0,,,788.0,4.0,2.0
23319,3.0,,,788.0,4.0,3.0
23320,4.0,2.0,2.0,1166.0,2.0,2.0
23321,3.0,,,788.0,2.0,4.0
23322,3.0,,,525.0,2.0,3.0
23323,3.0,,,530.0,2.0,5.0
23324,3.0,,,591.0,2.0,4.0
23325,,,,,,
23326,3.0,,,741.0,4.0,4.0
23327,3.0,,,788.0,4.0,2.0
23328,2.0,4.0,2.0,210.0,2.0,4.0
23329,,,,,,
23330,2.0,4.0,2.0,218.0,2.0,3.0
23331,3.0,,,622.0,2.0,3.0
23332,2.0,4.0,2.0,365.0,2.0,4.0
23333,3.0,2.0,2.0,400.0,2.0,2.0
23334,1.0,,,98.0,2.0,3.0
23335,,,,,,
23336,,,,,,
23337,1.0,,,75.0,4.0,5.0
23338,3.0,,,472.0,2.0,6.0
23339,1.0,,,78.0,2.0,6.0
23340,,,,,,
23341,,,,,,
23342,2.0,,,394.0,4.0,2.0
23343,,,,,,
23344,1.0,,,100.0,2.0,2.0
23345,4.0,,,1344.0,2.0,3.0
23346,3.0,,,458.0,2.0,8.0
23347,,,,,,
23348,3.0,,,500.0,4.0,2.0
23349,2.0,,,216.0,2.0,4.0
23350,,,,,,
23351,2.0,,,262.0,4.0,3.0
23352,1.0,,,128.0,4.0,2.0
23353,,,,,,
23354,3.0,,,648.0,2.0,3.0
23355,,,,,,
23356,3.0,,,658.0,2.0,3.0
23357,99.0,,,999999999999.0,2.0,3.0
23358,,,,,,
23359,99.0,4.0,2.0,999999999999.0,2.0,10.0
23360,3.0,,,480.0,2.0,2.0
23361,,,,,,
23362,3.0,,,444.0,4.0,4.0
23363,1.0,,,69.0,4.0,3.0
23364,2.0,,,234.0,2.0,2.0
23365,4.0,,,984.0,2.0,3.0
23366,1.0,4.0,2.0,108.0,2.0,4.0
23367,3.0,4.0,2.0,519.0,2.0,3.0
23368,3.0,,,422.0,2.0,4.0
23369,1.0,4.0,2.0,54.0,2.0,4.0
23370,1.0,4.0,2.0,150.0,2.0,2.0
23371,2.0,,,337.0,4.0,3.0
23372,2.0,,,394.0,2.0,3.0
23373,,,,,,
23374,1.0,,,106.0,4.0,3.0
23375,0.0,,,0.0,2.0,1.0
23376,,,,,,
23377,2.0,,,272.0,4.0,4.0
23378,3.0,,,399.0,2.0,3.0
23379,,,,,,
23380,1.0,,,60.0,4.0,2.0
23381,2.0,4.0,2.0,224.0,2.0,2.0
23382,4.0,,,1250.0,2.0,2.0
23383,,,,,,
23384,2.0,,,394.0,2.0,2.0
23385,2.0,,,394.0,2.0,2.0
23386,2.0,,,327.0,2.0,2.0
23387,1.0,,,197.0,2.0,2.0
23388,2.0,,,289.0,2.0,4.0
23389,5.0,,,1788.0,2.0,1.0
23390,,,,,,
23391,3.0,4.0,2.0,422.0,2.0,2.0
23392,4.0,,,1576.0,2.0,1.0
23393,3.0,,,788.0,4.0,1.0
23394,4.0,,,1257.0,2.0,2.0
23395,6.0,4.0,2.0,2833.0,2.0,3.0
23396,2.0,4.0,2.0,286.0,2.0,4.0
23397,2.0,,,215.0,2.0,2.0
23398,1.0,,,40.0,2.0,4.0
23399,,,,,,
23400,2.0,4.0,2.0,337.0,2.0,7.0
23401,,,,,,
23402,2.0,,,215.0,2.0,4.0
23403,1.0,,,100.0,2.0,5.0
23404,,,,,,
23405,3.0,,,549.0,2.0,6.0
23406,2.0,,,320.0,2.0,2.0
23407,,,,,,
23408,,,,,,
23409,4.0,,,1375.0,2.0,4.0
23410,4.0,,,1576.0,2.0,1.0
23411,,,,,,
23412,3.0,,,788.0,4.0,2.0
23413,99.0,,,999999999999.0,4.0,6.0
23414,,,,,,
23415,,,,,,
23416,2.0,,,216.0,4.0,3.0
23417,3.0,,,525.0,4.0,3.0
23418,1.0,,,96.0,4.0,2.0
23419,1.0,,,56.0,4.0,4.0
23420,4.0,,,894.0,4.0,3.0
23421,1.0,,,183.0,2.0,7.0
23422,,,,,,
23423,1.0,,,140.0,4.0,1.0
23424,1.0,,,139.0,4.0,5.0
23425,3.0,,,788.0,4.0,1.0
23426,3.0,,,744.0,2.0,2.0
23427,3.0,,,650.0,2.0,2.0
23428,1.0,,,42.0,2.0,6.0
23429,,,,,,
23430,1.0,,,156.0,4.0,3.0
23431,1.0,,,136.0,4.0,2.0
23432,99.0,,,999999999999.0,4.0,4.0
23433,3.0,,,640.0,4.0,3.0
23434,2.0,,,322.0,2.0,4.0
23435,,,,,,
23436,,,,,,
23437,6.0,,,2788.0,4.0,1.0
23438,1.0,,,85.0,2.0,4.0
23439,3.0,,,788.0,4.0,2.0
23440,4.0,,,1300.0,4.0,2.0
23441,2.0,,,350.0,4.0,2.0
23442,,,,,,
23443,,,,,,
23444,1.0,,,125.0,4.0,2.0
23445,3.0,,,525.0,4.0,3.0
23446,3.0,,,629.0,4.0,3.0
23447,,,,,,
23448,1.0,,,142.0,4.0,3.0
23449,,,,,,
23450,2.0,,,302.0,2.0,3.0
23451,,,,,,
23452,2.0,2.0,2.0,390.0,2.0,3.0
23453,4.0,,,863.0,2.0,2.0
23454,,,,,,
23455,,,,,,
23456,1.0,,,188.0,4.0,2.0
23457,3.0,,,550.0,4.0,2.0
23458,4.0,,,1088.0,2.0,2.0
23459,3.0,,,750.0,2.0,2.0
23460,3.0,4.0,2.0,629.0,2.0,2.0
23461,3.0,4.0,2.0,492.0,2.0,5.0
23462,3.0,4.0,2.0,404.0,2.0,4.0
23463,,,,,,
23464,2.0,,,232.0,2.0,2.0
23465,5.0,4.0,2.0,1594.0,2.0,4.0
23466,,,,,,
23467,2.0,,,300.0,2.0,1.0
23468,,,,,,
23469,2.0,,,333.0,2.0,2.0
23470,1.0,,,37.0,2.0,3.0
23471,2.0,4.0,2.0,318.0,2.0,5.0
23472,4.0,,,1182.0,4.0,2.0
23473,,,,,,
23474,,,,,,
23475,3.0,4.0,2.0,573.0,2.0,3.0
23476,3.0,,,788.0,4.0,1.0
23477,3.0,4.0,2.0,400.0,2.0,8.0
23478,1.0,,,134.0,2.0,2.0
23479,,,,,,
23480,0.0,,,0.0,4.0,1.0
23481,3.0,,,566.0,2.0,3.0
23482,1.0,,,105.0,4.0,3.0
23483,3.0,4.0,2.0,412.0,2.0,3.0
23484,4.0,,,1288.0,4.0,1.0
23485,3.0,,,788.0,2.0,1.0
23486,4.0,4.0,2.0,1546.0,2.0,3.0
23487,2.0,,,262.0,2.0,3.0
23488,2.0,,,340.0,2.0,2.0
23489,2.0,4.0,2.0,223.0,2.0,4.0
23490,0.0,,,0.0,4.0,4.0
23491,,,,,,
23492,,,,,,
23493,3.0,,,788.0,2.0,1.0
23494,2.0,4.0,2.0,293.0,2.0,3.0
23495,4.0,4.0,2.0,1100.0,2.0,2.0
23496,1.0,,,75.0,4.0,2.0
23497,4.0,,,1500.0,2.0,1.0
23498,2.0,,,262.0,4.0,3.0
23499,,,,,,
23500,3.0,,,788.0,4.0,1.0
23501,3.0,4.0,2.0,429.0,2.0,3.0
23502,2.0,,,346.0,2.0,3.0
23503,1.0,2.0,2.0,157.0,2.0,3.0
23504,3.0,,,441.0,4.0,3.0
23505,4.0,,,888.0,4.0,1.0
23506,1.0,,,95.0,2.0,2.0
23507,,,,,,
23508,,,,,,
23509,2.0,,,347.0,4.0,3.0
23510,,,,,,
23511,1.0,,,62.0,4.0,2.0
23512,1.0,,,32.0,2.0,5.0
23513,1.0,,,100.0,4.0,1.0
23514,2.0,,,304.0,4.0,3.0
23515,,,,,,
23516,2.0,,,394.0,2.0,2.0
23517,3.0,,,413.0,2.0,3.0
23518,1.0,,,100.0,2.0,1.0
23519,1.0,,,46.0,2.0,4.0
23520,3.0,,,788.0,4.0,2.0
23521,1.0,,,50.0,4.0,2.0
23522,1.0,,,50.0,2.0,4.0
23523,3.0,,,404.0,2.0,3.0
23524,1.0,,,197.0,4.0,4.0
23525,1.0,4.0,2.0,175.0,2.0,2.0
23526,3.0,,,788.0,2.0,1.0
23527,1.0,,,81.0,2.0,4.0
23528,1.0,,,87.0,2.0,4.0
23529,1.0,,,48.0,2.0,1.0
23530,,,,,,
23531,,,,,,
23532,2.0,4.0,2.0,307.0,2.0,5.0
23533,3.0,,,431.0,2.0,4.0
23534,3.0,,,591.0,2.0,3.0
23535,2.0,,,309.0,2.0,7.0
23536,,,,,,
23537,,,,,,
23538,3.0,,,788.0,4.0,1.0
23539,4.0,,,988.0,2.0,3.0
23540,1.0,,,76.0,2.0,4.0
23541,3.0,,,788.0,2.0,2.0
23542,1.0,,,197.0,2.0,2.0
23543,0.0,,,0.0,2.0,2.0
23544,1.0,,,65.0,2.0,4.0
23545,3.0,4.0,2.0,788.0,2.0,2.0
23546,1.0,,,142.0,2.0,2.0
23547,2.0,,,250.0,2.0,2.0
23548,3.0,2.0,2.0,594.0,2.0,3.0
23549,2.0,,,241.0,2.0,4.0
23550,3.0,,,558.0,2.0,3.0
23551,1.0,,,53.0,2.0,3.0
23552,3.0,4.0,2.0,659.0,2.0,2.0
23553,3.0,,,424.0,2.0,2.0
23554,2.0,,,371.0,2.0,3.0
23555,3.0,,,575.0,4.0,3.0
23556,4.0,,,1222.0,4.0,2.0
23557,3.0,,,788.0,2.0,2.0
23558,1.0,,,87.0,4.0,6.0
23559,4.0,,,919.0,2.0,2.0
23560,1.0,,,85.0,4.0,5.0
23561,1.0,,,100.0,4.0,1.0
23562,2.0,,,268.0,4.0,2.0
23563,1.0,,,71.0,4.0,3.0
23564,1.0,,,129.0,2.0,3.0
23565,1.0,,,67.0,4.0,2.0
23566,,,,,,
23567,3.0,,,533.0,4.0,4.0
23568,3.0,,,504.0,4.0,5.0
23569,3.0,,,413.0,4.0,7.0
23570,,,,,,
23571,1.0,,,107.0,2.0,3.0
23572,4.0,,,820.0,2.0,5.0
23573,1.0,,,111.0,4.0,3.0
23574,3.0,,,598.0,4.0,3.0
23575,1.0,,,82.0,4.0,3.0
23576,3.0,,,547.0,2.0,3.0
23577,1.0,,,95.0,4.0,5.0
23578,2.0,,,231.0,4.0,4.0
23579,1.0,,,142.0,4.0,4.0
23580,1.0,,,85.0,2.0,2.0
23581,2.0,,,309.0,4.0,4.0
23582,6.0,4.0,2.0,2625.0,2.0,3.0
23583,1.0,4.0,2.0,124.0,2.0,2.0
23584,3.0,4.0,2.0,411.0,2.0,4.0
23585,2.0,,,222.0,2.0,3.0
23586,3.0,2.0,2.0,571.0,2.0,3.0
23587,3.0,,,500.0,2.0,2.0
23588,3.0,,,525.0,2.0,3.0
23589,,,,,,
23590,2.0,2.0,4.0,288.0,4.0,4.0
23591,6.0,2.0,2.0,3250.0,2.0,2.0
23592,99.0,2.0,2.0,999999999999.0,2.0,3.0
23593,1.0,,,139.0,2.0,3.0
23594,2.0,2.0,2.0,233.0,2.0,3.0
23595,3.0,,,400.0,2.0,2.0
23596,2.0,4.0,2.0,390.0,2.0,4.0
23597,,,,,,
23598,,,,,,
23599,3.0,,,600.0,2.0,2.0
23600,3.0,2.0,4.0,623.0,2.0,1.0
23601,,,,,,
23602,3.0,4.0,2.0,733.0,2.0,2.0
23603,2.0,2.0,2.0,394.0,2.0,2.0
23604,,,,,,
23605,4.0,,,892.0,4.0,3.0
23606,2.0,,,394.0,4.0,2.0
23607,2.0,4.0,2.0,394.0,2.0,2.0
23608,4.0,,,1333.0,2.0,3.0
23609,,,,,,
23610,3.0,,,760.0,2.0,2.0
23611,3.0,,,744.0,4.0,2.0
23612,2.0,,,237.0,4.0,2.0
23613,,,,,,
23614,2.0,4.0,2.0,268.0,2.0,4.0
23615,3.0,4.0,2.0,422.0,2.0,3.0
23616,3.0,,,788.0,4.0,1.0
23617,4.0,,,1300.0,4.0,1.0
23618,3.0,4.0,2.0,476.0,2.0,2.0
23619,,,,,,
23620,3.0,4.0,2.0,596.0,2.0,3.0
23621,4.0,2.0,2.0,850.0,2.0,4.0
23622,2.0,,,198.0,2.0,6.0
23623,1.0,,,195.0,2.0,4.0
23624,3.0,4.0,2.0,525.0,2.0,3.0
23625,3.0,4.0,2.0,525.0,2.0,3.0
23626,1.0,4.0,2.0,50.0,2.0,2.0
23627,2.0,,,362.0,4.0,3.0
23628,,,,,,
23629,,,,,,
23630,2.0,,,376.0,2.0,2.0
23631,1.0,,,172.0,2.0,3.0
23632,3.0,,,788.0,2.0,2.0
23633,4.0,,,1188.0,2.0,1.0
23634,4.0,,,1219.0,2.0,2.0
23635,,,,,,
23636,,,,,,
23637,3.0,,,422.0,2.0,3.0
23638,,,,,,
23639,3.0,,,788.0,4.0,1.0
23640,,,,,,
23641,,,,,,
23642,4.0,,,1000.0,2.0,1.0
23643,2.0,,,354.0,2.0,3.0
23644,4.0,,,1182.0,2.0,2.0
23645,3.0,,,572.0,2.0,2.0
23646,2.0,,,275.0,2.0,2.0
23647,,,,,,
23648,3.0,,,711.0,2.0,2.0
23649,,,,,,
23650,2.0,,,281.0,2.0,5.0
23651,2.0,,,306.0,2.0,2.0
23652,3.0,,,429.0,2.0,3.0
23653,0.0,,,0.0,2.0,2.0
23654,,,,,,
23655,3.0,,,432.0,2.0,4.0
23656,3.0,,,671.0,4.0,2.0
23657,3.0,,,788.0,2.0,3.0
23658,4.0,,,1304.0,2.0,2.0
23659,3.0,,,593.0,2.0,4.0
23660,4.0,,,1242.0,2.0,2.0
23661,4.0,,,1000.0,2.0,1.0
23662,,,,,,
23663,2.0,,,260.0,2.0,2.0
23664,1.0,4.0,2.0,175.0,2.0,2.0
23665,2.0,,,222.0,2.0,3.0
23666,4.0,4.0,2.0,1394.0,2.0,2.0
23667,4.0,,,950.0,2.0,2.0
23668,3.0,,,744.0,2.0,2.0
23669,3.0,,,437.0,2.0,2.0
23670,2.0,,,300.0,2.0,2.0
23671,3.0,,,672.0,2.0,4.0
23672,2.0,,,361.0,2.0,3.0
23673,4.0,,,826.0,2.0,2.0
23674,2.0,4.0,2.0,308.0,2.0,2.0
23675,2.0,,,262.0,2.0,3.0
23676,1.0,,,100.0,2.0,2.0
23677,2.0,4.0,2.0,302.0,2.0,2.0
23678,1.0,,,125.0,2.0,2.0
23679,,,,,,
23680,3.0,4.0,2.0,400.0,2.0,2.0
23681,2.0,,,394.0,2.0,2.0
23682,,,,,,
23683,1.0,4.0,2.0,41.0,2.0,5.0
23684,3.0,,,612.0,2.0,3.0
23685,3.0,4.0,2.0,679.0,2.0,5.0
23686,3.0,4.0,2.0,437.0,2.0,4.0
23687,2.0,2.0,2.0,262.0,2.0,3.0
23688,1.0,4.0,2.0,157.0,2.0,3.0
23689,,,,,,
23690,2.0,,,262.0,2.0,2.0
23691,2.0,4.0,2.0,250.0,2.0,4.0
23692,2.0,,,212.0,2.0,4.0
23693,2.0,4.0,2.0,250.0,2.0,4.0
23694,,,,,,
23695,2.0,4.0,2.0,262.0,2.0,3.0
23696,3.0,4.0,2.0,500.0,2.0,2.0
23697,4.0,2.0,2.0,1200.0,2.0,5.0
23698,3.0,4.0,2.0,703.0,2.0,4.0
23699,3.0,2.0,2.0,600.0,2.0,3.0
23700,2.0,4.0,2.0,332.0,2.0,4.0
23701,2.0,,,285.0,2.0,4.0
23702,3.0,,,500.0,2.0,2.0
23703,2.0,2.0,2.0,221.0,2.0,5.0
23704,1.0,,,157.0,2.0,3.0
23705,2.0,,,262.0,2.0,2.0
23706,3.0,,,525.0,2.0,3.0
23707,2.0,,,214.0,2.0,4.0
23708,3.0,4.0,2.0,525.0,2.0,3.0
23709,3.0,,,500.0,2.0,2.0
23710,,,,,,
23711,2.0,,,262.0,2.0,2.0
23712,1.0,,,112.0,2.0,1.0
23713,,,,,,
23714,4.0,2.0,2.0,866.0,2.0,3.0
23715,3.0,2.0,2.0,666.0,2.0,2.0
23716,2.0,2.0,2.0,350.0,2.0,2.0
23717,6.0,4.0,2.0,3500.0,2.0,1.0
23718,4.0,4.0,2.0,967.0,2.0,4.0
23719,,,,,,
23720,3.0,,,733.0,2.0,3.0
23721,99.0,,,999999999999.0,2.0,4.0
23722,2.0,2.0,2.0,262.0,2.0,2.0
23723,3.0,2.0,2.0,466.0,2.0,3.0
23724,3.0,,,591.0,2.0,4.0
23725,3.0,,,600.0,2.0,1.0
